OSM_ID,NAME,Region,Area_ha,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
-1863175,Володарский район,AST,"407211,5","59,97472","74,8334","72,5617","73,86566","80,14943","69,63943","80,34547","70,9051","85,17887","96,69491","99,57679","55,31114","69,50302","61,06264","70,34849","88,58905","70,0051","59,21113","85,38283","57,20208"
-938660,Юстинский район,KL,"756395,4","78,25","75,4","60,6","99,1","96,05","75,55","67,75","72,45","83,2","111,05","91,95","82,5","82,65","66,85","68,9","71,7","81,55","68,15","79,95","55,6"
-1850408,Ахтубинский район,AST,"789796,8","87,55","99,725","67,3","110,125","104,125","92,65","83,625","79,225","81,725","120,075","92,45","91,325","95,15","84,8","69,025","87,45","93,9","80,4","90,95","69,075"
-1749734,Надтеречный район,CE,"89417,9","120,03094","144,15774","98,60508","161,78304","140,90381","114,08727","102,81438","104,49028","118,16584","169,76678","145,29777","103,99266","121,86352","118,53437","128,01586","138,86458","107,52063","145,03489","122,84275","99,71029"
-1749727,Ачхой-Мартановский район,CE,"107622,7","201,13188","261,78749","190,07355","278,83727","239,49263","199,57055","184,6118","180,39883","177,2104","292,67766","244,00337","152,92105","195,45504","181,66325","214,84494","241,05662","166,22874","244,01811","188,5131","184,27033"
-1749728,Веденский район,CE,"91222,2","211,00848","286,85642","204,70916","295,48204","250,58817","195,0511","185,04715","188,94211","185,11878","327,06553","259,70108","167,16222","208,86593","188,50819","232,83601","260,35651","173,0174","261,21103","197,61818","202,98424"
-1749742,Шатойский район,CE,"88507,3","245,14876","329,36501","246,08367","334,31912","285,88608","235,47789","227,84393","221,79149","212,85642","376,31731","298,99089","189,43142","234,28231","212,10536","261,22357","293,13343","195,06288","293,67467","222,32418","231,04719"
-1749726,городской округ Аргун,CE,"4422,7","122,60001","154,70001","108,7","169,8","141,39999","106,7","102,1","105,3","106,2","181,3","148,2","97,6","123,3","115,5","133,7","147,8","104,60001","152,5","117,9","108,1"
-1749743,Шелковской район,CE,"297397,3","100,8081","122,37989","93,47554","135,54574","117,89661","83,99166","90,26932","84,73142","98,3112","143,33123","121,97616","86,42331","99,6067","92,96987","107,78155","118,66286","87,55384","116,39952","101,04302","85,56281"
-1749741,Шаройский район,CE,"52234,4","246,84411","331,88765","248,49402","336,70137","287,61784","237,41392","229,5153","223,19914","214,37209","378,85444","301,0881","190,61589","236,07858","213,19905","263,45868","295,07741","196,24617","295,6316","223,70519","232,85302"
-1749739,Урус-Мартановский район,CE,"63698,1","148,5294","190,70959","135,74078","206,43567","174,6901","137,65032","129,28101","130,63648","130,0526","217,93338","178,94917","116,68257","147,15788","137,32555","160,62346","178,33009","124,94634","182,56409","141,07934","132,835"
-1749736,Наурский район,CE,"219356,4","113,10001","135,05","96,65","151,55","131,5","98,05","99,2","96,8","107,35","158,1","132,4","95,6","112,40001","107,9","118,85","129,8","98,55","131,95","113,6","92,05"
-1749731,Гудермесский район,CE,"70683,1","112,87858","149,03705","107,00111","160,07858","137,0584","102,16963","95,96513","99,92019","100,34827","173,27747","139,13926","94,76852","117,2595","108,79883","128,7921","144,59099","100,35277","145,51568","116,20111","106,58988"
-1749738,Сунженский район,CE,"21170,8","141,8","182,5","126,3","202,20001","173,70001","136,3","122,8","127,2","127,4","200,89999","165,8","114,4","141,70001","133,70001","154,10001","169,10001","121,5","174,5","136,20001","122,9"
-1749740,Шалинский район,CE,"61693,1","123,79605","157,46235","111,23247","171,83358","143,72932","108,69405","103,82716","106,93671","107,57768","184,16509","150,04577","99,07126","124,73842","116,56588","135,61553","150,29163","105,86046","154,42025","119,76918","110,36384"
-1749729,Грозненский район,CE,"150236,3","128,55323","162,76292","114,20214","179,39643","151,74346","115,81031","109,46702","112,17963","113,6323","186,26767","152,94365","103,20786","128,58493","120,98344","139,39721","153,64435","109,82015","158,05346","123,90275","111,88236"
