OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1957534,"4396,671978","4889,633576","4315,749164","4583,095956","4742,909129","4585,205851","4668,21264","4788,10813","4547,458673","4267,948284","4763,053898","4549,495844","5063,446595","4389,832004","4205,7786","5082,264104","4871,815733","4541,793457","4469,234195","4501,038812","4467,490972"
-1863176,"4283,838197","4793,012207","4274,235223","4679,040383","4340,701255","4421,379677","4657,332083","4587,813546","4648,21808","4142,890924","4712,392868","4372,053403","4691,000648","4007,357815","3653,623369","5082,488339","4847,21495","4058,616401","4223,136134","4019,244604","4057,577489"
-1863175,"4994,35767","5348,398723","4995,144965","5204,445564","5096,431215","5179,636379","5250,483223","5305,808016","5196,607121","4988,012679","5174,886717","5190,911079","5343,64132","4796,733053","4295,530321","5363,174459","5422,298428","5155,951815","4901,671487","5136,588945","5238,551812"
-1863174,"2480,212827","2956,343195","2906,326096","3077,519175","2877,718671","2915,748736","3056,298329","3002,766398","3048,883814","2698,076087","3045,111508","2574,070476","3072,131183","2532,143151","2285,897435","2968,956989","2953,7436","2558,004715","3042,651928","2382,53932","2378,374275"
-1853865,"2929,116119","3249,183014","2863,124985","3202,794662","3201,955399","3177,058029","3139,96431","3268,879456","3188,857178","3143,263428","3478,843735","3079,946404","3392,486588","2826,60717","2900,857147","3720,738102","3547,083354","2978,02599","3351,396151","2789,168834","2908,383134"
-1853863,"3839,023168","3630,707184","3382,69584","3728,067624","3611,143789","3322,780569","2922,425878","3092,50928","3160,169243","2988,49253","3060,538234","3007,014487","3491,103241","3009,793811","2596,296708","4065,321381","3504,328305","3372,055216","3518,934435","3048,332549","3707,553534"
-1853861,"2261,074261","2988,53551","2752,340725","2977,344316","2970,802652","2996,917327","2855,510865","2863,968982","2734,924245","2689,065115","2914,780426","2534,403206","2893,579744","2534,930565","2336,065227","2952,392124","2827,305062","2736,962158","2910,817716","2235,810139","2585,80656"
-1853860,"2285,73493","2770,294016","2426,000587","2714,445745","2706,012243","2847,144047","2705,111654","2625,916395","2619,136685","2366,318142","2942,33469","2317,871355","2856,119622","2407,812146","2449,524623","2924,919076","2819,291027","2465,79073","2838,007093","2195,201775","2363,832407"
-1853857,"2807,867345","3117,780021","2633,73905","2982,503918","3085,648358","3189,039498","3133,142816","2916,755839","3132,886385","2723,857935","3512,939333","2961,443631","3643,250484","2756,369634","2934,237731","3641,504718","3138,254223","2777,154069","3299,276041","2413,664669","2574,183296"
-1853856,"2636,184101","3152,849753","2784,295016","3175,749809","3085,176621","3198,261687","3025,573213","2892,730763","2901,419672","2702,652014","3088,146459","2654,313552","3000,161539","2560,54939","2546,162628","3328,906937","3003,836968","2949,876128","3098,278458","2329,631712","2964,631087"
-1850408,"3443,553826","3283,658314","2986,687553","3269,350491","3305,540993","2928,022806","2831,902798","2912,613819","2581,227383","2759,457359","2907,393453","2935,324393","3291,743996","2805,91087","2401,461595","3893,87433","3248,824826","3053,369692","3375,662783","2733,613196","3255,35913"
