,airports,dates,day_before
183,SNA,2008-01-01 11:21:00,11.35
184,CID,2008-01-01 11:21:00,11.35
185,HSV,2008-01-01 11:21:00,11.35
186,ORF,2008-01-01 11:22:00,11.366666666666667
187,FAT,2008-01-01 11:23:00,11.383333333333333
188,XNA,2008-01-01 11:24:00,11.4
189,CMH,2008-01-01 11:24:00,11.4
190,SDF,2008-01-01 11:26:00,11.433333333333334
191,EWR,2008-01-01 11:26:00,11.433333333333334
192,GGG,2008-01-01 11:26:00,11.433333333333334
193,ORF,2008-01-01 11:27:00,11.45
194,RNO,2008-01-01 11:27:00,11.45
195,SWF,2008-01-01 11:28:00,11.466666666666667
196,BZN,2008-01-01 11:28:00,11.466666666666667
197,LWS,2008-01-01 11:28:00,11.466666666666667
198,GTF,2008-01-01 11:30:00,11.5
199,JAC,2008-01-01 11:30:00,11.5
200,IND,2008-01-01 11:33:00,11.55
201,AGS,2008-01-01 11:33:00,11.55
202,BUR,2008-01-01 11:33:00,11.55
203,BIL,2008-01-01 11:34:00,11.566666666666666
204,FWA,2008-01-01 11:36:00,11.6
205,DAY,2008-01-01 11:37:00,11.616666666666667
206,LEX,2008-01-01 11:39:00,11.65
207,HRL,2008-01-01 11:39:00,11.65
208,ICT,2008-01-01 11:40:00,11.666666666666666
209,SDF,2008-01-01 11:40:00,11.666666666666666
210,FNT,2008-01-01 11:42:00,11.7
211,SDF,2008-01-01 11:42:00,11.7
212,PHF,2008-01-01 11:43:00,11.716666666666667
213,PHL,2008-01-01 11:43:00,11.716666666666667
214,YUM,2008-01-01 11:43:00,11.716666666666667
215,PSP,2008-01-01 11:44:00,11.733333333333333
216,PSP,2008-01-01 11:44:00,11.733333333333333
217,MRY,2008-01-01 11:45:00,11.75
218,SBA,2008-01-01 11:46:00,11.766666666666667
219,CLE,2008-01-01 11:47:00,11.783333333333333
220,TYR,2008-01-01 11:48:00,11.8
221,BOI,2008-01-01 11:48:00,11.8
222,GSO,2008-01-01 11:48:00,11.8
223,SYR,2008-01-01 11:49:00,11.816666666666666
224,BUR,2008-01-01 11:49:00,11.816666666666666
225,PSC,2008-01-01 11:50:00,11.833333333333334
226,YKM,2008-01-01 11:50:00,11.833333333333334
227,SGU,2008-01-01 11:50:00,11.833333333333334
228,LSE,2008-01-01 11:51:00,11.85
229,ROC,2008-01-01 11:51:00,11.85
230,SNA,2008-01-01 11:51:00,11.85
231,LIT,2008-01-01 11:53:00,11.883333333333333
232,ICT,2008-01-01 11:53:00,11.883333333333333
233,LSE,2008-01-01 11:54:00,11.9
234,CIC,2008-01-01 11:55:00,11.916666666666666
235,LIT,2008-01-01 11:55:00,11.916666666666666
236,BUR,2008-01-01 11:55:00,11.916666666666666
237,PVD,2008-01-01 11:57:00,11.95
238,ALB,2008-01-01 11:57:00,11.95
239,LAN,2008-01-01 11:57:00,11.95
240,ROA,2008-01-01 11:58:00,11.966666666666667
241,ILM,2008-01-01 11:58:00,11.966666666666667
242,PSP,2008-01-01 11:59:00,11.983333333333333
243,GRK,2008-01-01 12:01:00,12.016666666666667
244,BUF,2008-01-01 12:03:00,12.05
245,BFL,2008-01-01 12:03:00,12.05
246,DAB,2008-01-01 12:04:00,12.066666666666666
247,MFR,2008-01-01 12:04:00,12.066666666666666
