OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1957640,"5809,168919","6515,27027","5349,382813","6871,121951","6413,210084","6731,206897","6159,375","6491,084906","6086,735849","7537,038835","6811,861386","6449,20202","6477,707071","6037,367347","6917,510417",6854,"6289,157303","6585,629213","6330,511811","7175,944882","6157,889764"
-1749743,"4726,904872","5066,92276","4368,367594","5596,621046","5372,979303","5519,374828","5126,508702","5001,610467","5141,403647","5666,285139","5936,368498","5116,965222","5351,733388","4491,030291","5320,528374","4987,276613","5141,793529","5352,890131","4864,499188","4870,463119","5482,11824"
-1749742,"8140,95539","8362,829635","8368,647406","8362,378357","8371,968118","8389,86353","8481,363319","8327,781311","8470,987204","8334,346049","8466,416504","8460,523939","8465,15181","8519,756231","8588,390576","8507,997265","8568,269637","8496,395939","8601,908278","8493,339076","8312,856304"
-1749741,"6457,926946","6633,94243","6623,076313","6666,21704","6771,638721","6494,227577","6823,460955","6711,932162","6777,526246","7042,675712","6725,554938","6747,542019","6809,41574","6864,532494","6922,065662","6949,638059","6903,448787","6733,415281","7005,593708","6969,233101","6548,416124"
-1749740,"6193,163043","6800,776596","6150,308511","6724,787234","6676,709677","6650,043478","6333,855556","6699,166667","6584,044444","7208,711111","6968,655556","6566,5","6466,355556","6582,7","6574,377778","6730,08046","6914,117647","7066,758065","7255,807018","7279,438596","7264,385965"
-1749739,"8119,2","8405,9","8220,4","8267,2","8561,8","8408,8","8456,2","8327,3","8493,2","8405,1","8578,1","8345,7","8309,4","8404,1","8503,7","8560,9","8490,2","8428,3","8540,1","8316,1","8435,7"
-1749738,"7351,318182","7342,863636","7153,095238","7753,55","7587,052632","7691,631579","7615,368421","7759,105263","7571,315789","7742,368421","7908,052632","7839,368421","7897,315789","8052,722222","7948,5","8162,833333","7658,277778","8076,722222","7332,555556","7560,722222","7056,888889"
-1749737,"7756,146483","7875,902103","7898,844815","7931,737374","7860,068719","7939,407301","7966,713672","7884,463747","8004,140704","7960,171897","8008,1398","8076,421541","8035,147646","8086,557061","8209,480029","8222,457676","8266,317952","8162,786791","8150,232207","8018,204741","8126,27658"
-1749736,"5154,562837","5226,751171","4784,74836","5495,33425","5869,154652","5793,38993","5596,17282","5293,787888","5133,603598","6058,337118","6357,389434","5707,72567","5456,359962","5047,978152","6001,551082","5385,529699","5316,853063","5713,672534","5426,446213","5595,789095","5528,02046"
-1749734,"6042,132013","6379,879538","5903,862568","6601,381125","6759,921389","6898,252768","6738,233645","6367,236434","6216,23062","6845,629921","7417,206759","6530,266129","6890,493852","6327,105263","7001,404255","7245,351812","6844,469083","6915,006466","6637,823656","6989,924731","6627,509677"
-1749733,"6834,62963","7180,703704","6883,925926","7170,703704","7247,181818","7500,041667","7206,238095","7737,6","7693,6",7957,"7967,352941","7850,411765","7927,117647","7909,294118","8020,882353","8058,294118","8236,235294","7848,705882","7665,823529","7783,176471","8019,705882"
-1749732,"6957,560773","7102,6828","7045,343454","7151,01994","7191,85262","7118,567719","7291,137757","7150,876763","7194,587206","7053,269239","7190,548525","7082,888986","7180,141565","7305,215003","7325,023586","7338,313135","7284,854399","7104,376244","7376,496629","7238,82873","6974,428556"
-1749731,"6548,819242","6949,705628","6030,838897","7043,063142","6997,227545","7372,546828","7053,429439","7284,372671","6607,349379","7360,170047","7476,738245","6925,527646","7118,5968","6755,496774","7196,41329","7422,802269","7286,050325","7281,726829","6800,510535","7091,230146","7204,45705"
