OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
-3397450,"21,18907592","20,16974831","19,43025264","21,56974837","21,37226935","22,11512633","20,64705927","22,45126107","20,67647092","22,93865597","20,85546292","23,11932833","21,32605059","21,17731139","20,99159701","21,9361349","21,0075632","20,20672327","21,39159696","22,09915991"
-3389531,"20,8203652","19,90629858","18,92139171","21,13184792","20,91895048","21,69327145","20,58619724","21,99189934","20,54676355","22,94625731","20,36857693","22,86467391","21,54764864","21,1922811","21,06761512","21,96747367","20,76486396","20,44411282","20,97185981","21,83026198"
-215684,"21,19428596","20,31714325","19,24285736","21,51142883","21,48571472","22,18857117","21,14857216","22,46000023","20,99714317","23,38285789","20,85142899","23,24285812","22,00000038","21,68571472","21,53714294","22,38571472","21,29428596","20,99428635","21,47142868","22,28857155"
-1957535,"24,22017155","23,69442448","22,31926682","24,29922301","24,16687644","24,68099073","24,67040531","24,52266392","23,45668266","25,92250184","23,7896724","25,65235258","24,71573531","25,42730425","25,1229564","25,10088422","24,98029224","25,05877413","24,98189915","25,36505878"
-1957534,"24,22142982","23,66428661","22,30714321","24,22142887","24,11428547","24,62857246","24,68571472","24,44999981","23,39285755","25,9285717","23,74285793","25,6071434","24,62857151","25,35714245","25,09285831","25,0714283","24,87142849","24,98571491","24,9285717","25,37142849"
-1863176,"24,22709822","23,79345018","22,3506657","24,43054403","24,2956111","24,80503529","24,79755589","24,61011086","23,66426457","26,13853996","23,82285154","25,75588465","24,78711535","25,43400629","25,16876908","25,19546773","25,01324293","25,00745087","25,06056069","25,53972645"
-1863175,"24,20490621","23,78816766","22,3571434","24,46652372","24,43016267","24,88528453","24,81183272","24,69711692","23,6359308","26,13102535","23,91140181","25,76897617","24,76450136","25,43102459","25,15959553","25,17633446","25,02857208","25,00245289","25,02409727","25,54285812"
-1863174,"24,12857246","23,67142868","22,23571396","24,3214283","24,20000076","24,72857189","24,70000076","24,56428623","23,61428642","26,07143021","23,66428566","25,72857189","24,6071434","25,27142906","25,02142906","25,0714283","24,75714302","24,85000038","24,89285755","25,5"
-1853865,"24,22369298","23,77072889","22,3278724","24,38431448","24,28048671","24,77038036","24,79024393","24,59477199","23,63727907","26,12334407","23,80417893","25,75226441","24,74145723","25,40382952","25,16167211","25,18048633","24,96027286","24,98501504","25,02264351","25,5282223"
-1853863,"22,8214283","22,60000038","20,96428585","22,72857285","22,67142868","22,99285793","23,39999962","23,1785717","22,29285812","24,65714264","22,20000076","24,12857151","22,96428585","23,79285717","23,62857151","23,62857151","23,20714283","23,41428661","23,57857227","24,07142925"
-1853861,"23,61785746","23,19285727","21,76071453","23,79642868","23,61428642","24,07500029","24,26785707","24,07142925","23,1785717","25,58214331","23,11785746","25,17142916","23,96428585","24,67500067","24,47142887","24,51428604","24,10357141","24,30000067","24,32142878","24,98928642"
-1853860,"23,9761912","23,49523799","22,05238152",24,"23,83333333","24,27619108","24,53809611","24,25714366","23,26666641","25,71904818","23,44761976","25,39047686","24,34761937","25,0714283","24,84761937","24,85238139","24,55238088","24,69047674","24,64761925","25,05714353"
-1853857,"24,07142925","23,41428661","22,16428661","23,87857246","23,88571453","24,44285774","24,39285755","24,19999981","23,02142906","25,53571415","23,52857208","25,25714397","24,3214283","25,22142887","24,96428585","24,80714321","24,75000095","24,91428661","24,6071434","24,97142887"
-1853856,"23,5333341","23,09523837","21,61904844","23,60000038","23,44285774","23,81904793","24,19523875","23,89523824","22,97619057","25,36666679","22,98571396","24,9761912","23,83333397","24,55714226","24,38095284","24,42381032","23,99523799","24,18095271","24,24285762","24,78571447"
-1850408,"22,86428595","22,46428585","20,98928547","22,93571472","22,80000067","23,18928576","23,50357151","23,31785774","22,46785736","24,79642916","22,32142878","24,3285718","23,08214331","23,83571434","23,69285774","23,70000029","23,27500057","23,47142935","23,60714293","24,23571491"
-3389541,"24,49999023","23,85119338","22,68328966","24,91011277","24,86485158","25,44400569","25,09887062","25,30353453","24,28924063","26,69583764","24,20596897","26,28505606","25,24461514","25,68571472","25,32855179","25,47736818","25,25538542","24,96372164","25,21844993","25,93933222"
-214840,"24,68571472","23,98690494","22,74642897","25,12142928","25,18690523","25,64404806","25,04404815","25,59166718","24,35714308","26,6178573","24,51666705","26,34166733","25,50357167","25,63095299","25,28571463","25,69880978","25,3892862","25,03809579","25,38928652","26,04166683"
-214839,"24,27500057","23,65714312","22,45357132","24,68928576","24,61071491","25,19642878","24,91785765","25,0785718","24,07500029","26,49285746","23,96428633","26,05000019","25,00000048","25,45714331","25,1071434","25,25357199","25,01428652","24,78571463","25,02857208","25,78928614"
-214838,"24,45714283","23,81428623","22,64999962","24,93571472","24,89285755","25,50000095","25,05000114","25,33571434","24,29285812","26,68571472","24,26428604","26,27857208","25,25714302","25,65714359","25,27857208","25,47142887","25,24285698","24,93571472","25,18571472","25,91428661"
