,dates,proportions,probs,airports
217,2008-01-01 13:44:00,71.94719471947195,1,BTV
218,2008-01-01 13:46:00,72.27722772277228,1,RDD
219,2008-01-01 13:47:00,72.60726072607261,1,CMI
220,2008-01-01 13:52:00,72.93729372937293,1,JNU
221,2008-01-01 13:54:00,73.26732673267327,1,ABY
222,2008-01-01 13:56:00,73.5973597359736,1,HNL
223,2008-01-01 14:05:00,73.92739273927393,1,FLG
224,2008-01-01 14:09:00,74.25742574257426,1,ANC
225,2008-01-01 14:13:00,74.58745874587459,1,STT
226,2008-01-01 14:28:00,74.91749174917491,1,SBN
227,2008-01-01 14:35:00,75.24752475247524,1,BTM
228,2008-01-01 14:37:00,75.57755775577559,1,OGG
229,2008-01-01 14:42:00,75.9075907590759,1,SPI
230,2008-01-01 14:43:00,76.23762376237624,1,LIH
231,2008-01-01 15:05:00,76.56765676567657,1,KOA
232,2008-01-01 15:09:00,76.89768976897689,1,MBS
233,2008-01-01 15:16:00,77.22772277227723,1,EYW
234,2008-01-01 15:19:00,77.55775577557755,1,PSG
235,2008-01-01 15:39:00,77.88778877887789,1,ITO
236,2008-01-01 15:45:00,78.21782178217822,1,BGR
237,2008-01-01 16:03:00,78.54785478547855,1,HHH
238,2008-01-01 16:04:00,78.87788778877888,1,FAI
239,2008-01-01 16:04:00,79.20792079207921,1,CRW
240,2008-01-01 16:05:00,79.53795379537954,1,BQK
241,2008-01-01 16:17:00,79.86798679867987,1,AZO
242,2008-01-01 16:19:00,80.19801980198021,1,WRG
243,2008-01-01 16:23:00,80.52805280528052,1,GTR
244,2008-01-01 16:24:00,80.85808580858085,1,KTN
245,2008-01-01 16:28:00,81.1881188118812,1,CHO
246,2008-01-01 16:31:00,81.51815181518151,1,BGM
247,2008-01-01 16:35:00,81.84818481848185,1,OAJ
248,2008-01-01 16:43:00,82.17821782178217,1,STX
249,2008-01-01 16:53:00,82.50825082508251,1,RHI
250,2008-01-01 17:23:00,82.83828382838284,1,CDV
251,2008-01-01 17:29:00,83.16831683168317,1,ADQ
252,2008-01-01 17:32:00,83.4983498349835,1,EKO
253,2008-01-01 17:44:00,83.82838283828383,1,LCH
254,2008-01-01 18:18:00,84.15841584158416,1,AVP
255,2008-01-01 18:34:00,84.48844884488449,1,YAK
256,2008-01-01 18:55:00,84.81848184818482,1,OTZ
257,2008-01-01 19:02:00,85.14851485148515,1,SIT
258,2008-01-01 19:20:00,85.47854785478548,1,BRW
259,2008-01-01 19:26:00,85.8085808580858,1,TOL
260,2008-01-01 19:34:00,86.13861386138613,1,MEI
261,2008-01-01 19:49:00,86.46864686468648,1,BET
262,2008-01-01 20:03:00,86.79867986798679,1,MCN
263,2008-01-01 20:12:00,87.12871287128714,1,OME
264,2008-01-01 20:13:00,87.45874587458746,1,LYH
265,2008-01-01 20:51:00,87.78877887788778,1,SCE
266,2008-01-01 20:52:00,88.11881188118812,1,PMD
267,2008-01-01 21:55:00,88.44884488448845,1,VLD
268,2008-01-01 21:59:00,88.77887788778878,1,TUP
269,2008-01-01 22:10:00,89.10891089108911,1,BLI
270,2008-01-01 22:10:00,89.43894389438944,1,BPT
271,2008-01-01 22:13:00,89.76897689768977,1,MQT
